Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08005827,PUIG DE DOU. MARIA DE QUERALT,CR,MALLORCA,468,BARCELONA,08013,29 BARCELONA 2-I,932329456
F08005834,CASTANY PLANA. MARTA,CR,SANTALO,53,BARCELONA,08021,42 BARCELONA 5-A,932004980
F08005841,MARCH PUIGORIOL. ROSA M.,CR,MALLORCA,312,BARCELONA,08037,27 BARCELONA 2-G,932576944
F08005859,PUJADAS ZARAGOZA. AGUSTI,AV,MISTRAL,48,BARCELONA,08015,21 BARCELONA 2-A,934227501
F08005866,SANCHEZ MARTINEZ. SOCORRO,CR,PINTOR FORTUNY,31,BARCELONA,08001,20 BARCELONA 1-E,933182233
F08005873,PEÑAFIEL VERCHER. MARIA TERESA,CR,CLOT,57,BARCELONA,08018,77 BARCELONA 10-G,932312059
F08005880,LLAPART CASTILLA. FRANSCISCO JOSÉ/MERINO GONZALO. DAVID,CR,VILARDELL,9,BARCELONA,08014,35 BARCELONA 3-D,933321652
F08005898,VENTURA CEBRIÀ. ENRIC,RD,SANT ANTONI,15,BARCELONA,08011,24 BARCELONA 2-D,934422961
F08005908,MARCER VILA. MARIA DOLORS,CR,MIGUEL HERNANDEZ,17,BARCELONA,08042,62 BARCELONA 8-F,934272292
F08005922,CANALS CASTELLO.JAUME/CANALS COLORADO.MIGUEL,CR,CONSELL DE CENT,475 BIS,BARCELONA,08013,30 BARCELONA 2-J,932327606
F08005930,MATAS BOET. NURIA,CR,SANTA ANNA,21,BARCELONA,08002,18 BARCELONA 1-C,933027184
F08005947,MARTINEZ MAÑAS. MARIA ROSARIO,CR,RIERA ALTA,59,BARCELONA,08001,20 BARCELONA 1-E,932423327
F08005954,PASCUAL FERRER. SILVIA,CR,GRAN DE GRACIA,58,BARCELONA,08012,48 BARCELONA 6-B,932177245
F08005961,REIXACH BELTRAN.J/DE PABLO SEDANO. MARTA,CR,GRAN DE SANT ANDREU,263,BARCELONA,08030,395 BARCELONA 9-H,932744709
F08005979,SABATES FREIJO/VILLEGAS MORA,CR,VALLESPIR,13,BARCELONA,08014,36 BARCELONA 3-E,933392540
F08005986,TORRENS CORTES. IMMACULADA,CR,VILADOMAT,40,BARCELONA,08015,21 BARCELONA 2-A,932411567
F08005993,SALA SOLER. MARTA,CR,BALMES,173,BARCELONA,08006,42 BARCELONA 5-A,932160243
F08006002,SAHUN XIFRE. MONTSERRAT ROSARIO,CR,BALMES,338,BARCELONA,08006,43 BARCELONA 5-B,932122228
F08006010,ALBERT DILOY. JAVIER/ALBERT LLORENS. MARIA,PS,MARAGALL,177,BARCELONA,08041,326 BARCELONA 7-G,933519507
F08006027,MARTOS SENENT. PATRICIO,CR,OLZINELLES,71,BARCELONA,08014,35 BARCELONA 3-D,934210339
F08006034,UNYO BOVER. SANDRA,CR,ROGER DE LLURIA,74,BARCELONA,08009,27 BARCELONA 2-G,934576544
F08006041,CASANOVAS URGELL. GLORIA,CR,VALENCIA,393,BARCELONA,08013,30 BARCELONA 2-J,934582652
