Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,CP,ABS,Telèfon,Nom comarca,Nom,província,geocode_input,address,lat,lng
F08016530,Sanchez dardiña. anna maria,Avinguda,Bonestar,39,8940,110 cornellà de llobregat 3,933756551,Baix Llobregat,Cornellà de Llobregat,Barcelona,"Avinguda Bonestar, 39, 08940, Cornellà de Llobregat, Barcelona, Spain","Carrer Bonestar, 39, 08940 Cornellà de Llobregat, Barcelona, Spain",41.3587631,2.0771333
F08016547,Aguar toran. mariano,Carrer,Harmonia,31,8035,55 barcelona 7-e,934282111,Barcelonès,Barcelona,Barcelona,"Carrer Harmonia, 31, 08035, Barcelona, Barcelona, Spain","Carrer de l'Harmonia, 31, 08035 Barcelona, Spain",41.4337777,2.1416057
F08016554,Hernandez calvet. jordi,Carrer,Vallpalau,5,8740,201 sant andreu de la barca,936530264,Baix Llobregat,Sant Andreu de la Barca,Barcelona,"Carrer Vallpalau, 5, 08740, Sant Andreu de la Barca, Barcelona, Spain","Carrer de la Vall del Palau, 5, 08740 Sant Andreu de la Barca, Barcelona, Spain",41.4479493,1.9693851
F08016561,Vilela rodriguez. delfina,Carrer,Tarragona,34,8770,218 sant sadurní d'anoia,938910040,Alt Penedès,Sant Sadurní d'Anoia,Barcelona,"Carrer Tarragona, 34, 08770, Sant Sadurní d'Anoia, Barcelona, Spain","Carrer de Tarragona, 34, 08770 Sant Sadurní d'Anoia, Barcelona, Spain",41.4268988,1.7825395
F08016579,Falco planas. eva,Carrer,Albareda,6-8,8004,32 barcelona 3-a,933290864,Barcelonès,Barcelona,Barcelona,"Carrer Albareda, 6-8, 08004, Barcelona, Barcelona, Spain","Carrer d'Albareda, 6, 8, 08004 Barcelona, Spain",41.37378290000000,2.1742113
F08016586,Bravo samaniego. maria,Carrer,Esteras,28,8028,36 barcelona 3-e,934225794,Barcelonès,Barcelona,Barcelona,"Carrer Esteras, 28, 08028, Barcelona, Barcelona, Spain","Carrer d'Esteràs, 28, 08028 Barcelona, Spain",41.3709121,2.129468
F08016593,Sykuler. marcelo,Carrer,Artesania,64,8042,403 barcelona 8-l,933596272,Barcelonès,Barcelona,Barcelona,"Carrer Artesania, 64, 08042, Barcelona, Barcelona, Spain","Carrer de l'Artesania, 64, 08042 Barcelona, Spain",41.4405521,2.1735971
F08016603,Marqués fernández. albert,Carrer,Violant d'hongria,60,8028,38 barcelona 3-g,933391076,Barcelonès,Barcelona,Barcelona,"Carrer Violant d'hongria, 60, 08028, Barcelona, Barcelona, Spain","C. de Violant d'Hongria Reina d'Aragó, 60, 08028 Barcelona, Spain",41.3785835,2.1299427
F08016610,Martinez folch. gonzalo,Carrer,Tisso,4,8016,327 barcelona 8-i,933544103,Barcelonès,Barcelona,Barcelona,"Carrer Tisso, 4, 08016, Barcelona, Barcelona, Spain","Carrer d'En Tissó, 4, 08016 Barcelona, Spain",41.4428033,2.1847622
F08016628,Lopez paz. sylvia cristina,Avinguda,Eramprunyà,17,8850,122 gavà 1,936621799,Baix Llobregat,Gavà,Barcelona,"Avinguda Eramprunyà, 17, 08850, Gavà, Barcelona, Spain","Av. de l'Eramprunyà, 17, 08850 Gavà, Barcelona, Spain",41.30932080000000,1.9969103
F08016635,Cuba orosa. mª nieves.,Ronda,Alfons x el savi,143,8301,154 mataró 3,937905418,Maresme,Mataró,Barcelona,"Ronda Alfons x el savi, 143, 08301, Mataró, Barcelona, Spain","Ronda d'Alfons X el Savi, 143, 08304 Mataró, Barcelona, Spain",41.5457481,2.4505462
F08016642,Nogueira campos. m. elena,Avinguda,Generalitat,226,8923,226 santa coloma de gramenet 5,933864047,Barcelonès,Santa Coloma de Gramenet,Barcelona,"Avinguda Generalitat, 226, 08923, Santa Coloma de Gramenet, Barcelona, Spain","Av. de la Generalitat, 226, 08923 Santa Coloma de Gramenet, Barcelona, Spain",41.4353306,2.2128993
F08016650,Berga villanueva. encarnacio,Carrer,Gaia,2,8038,383 barcelona 3-h,933325141,Barcelonès,Barcelona,Barcelona,"Carrer Gaia, 2, 08038, Barcelona, Barcelona, Spain","Carrer del Gaià, 2, 08038 Barcelona, Spain",41.3623074,2.1409142
F08016667,San segundo blazquez. sergio,Carrer,Mercabarna,S/n,8004,34 barcelona 3-c,933253847,Barcelonès,Barcelona,Barcelona,"Carrer Mercabarna, S/n, 08004, Barcelona, Barcelona, Spain","Carrer Major, 76, 08040 Barcelona, Spain",41.3311826,2.1149739
F08016674,Badia sala.m. assumpció / vila badia.teresa,Carretera,Berga,24,8670,167 navàs/balsareny,938390343,Bages,Navàs,Barcelona,"Carretera Berga, 24, 08670, Navàs, Barcelona, Spain","Carr. de Berga, 24, 08670 Navás, Barcelona, Spain",41.898386,1.8785452
